Image,Row,Answer
cropped_part_1.jpg,1,A
cropped_part_1.jpg,2,B
cropped_part_1.jpg,3,B
cropped_part_1.jpg,4,C
cropped_part_1.jpg,5,D
cropped_part_1.jpg,6,C
cropped_part_1.jpg,7,?
cropped_part_1.jpg,8,?
cropped_part_1.jpg,9,B
cropped_part_1.jpg,10,C
cropped_part_1.jpg,11,D
cropped_part_1.jpg,12,C
cropped_part_1.jpg,13,?
cropped_part_1.jpg,14,A
cropped_part_1.jpg,15,?
cropped_part_1.jpg,16,C
cropped_part_1.jpg,17,?
cropped_part_1.jpg,18,?
cropped_part_1.jpg,19,B
cropped_part_1.jpg,20,?
cropped_part_1.jpg,21,?
cropped_part_1.jpg,22,?
cropped_part_1.jpg,23,A
cropped_part_1.jpg,24,?
cropped_part_1.jpg,25,?
cropped_part_2.jpg,26,A
cropped_part_2.jpg,27,?
cropped_part_2.jpg,28,C
cropped_part_2.jpg,29,?
cropped_part_2.jpg,30,?
cropped_part_2.jpg,31,C
cropped_part_2.jpg,32,?
cropped_part_2.jpg,33,?
cropped_part_2.jpg,34,B
cropped_part_2.jpg,35,?
cropped_part_2.jpg,36,?
cropped_part_2.jpg,37,?
cropped_part_2.jpg,38,B
cropped_part_2.jpg,39,?
cropped_part_2.jpg,40,?
cropped_part_2.jpg,41,?
cropped_part_2.jpg,42,C
cropped_part_2.jpg,43,?
cropped_part_2.jpg,44,A
cropped_part_2.jpg,45,?
cropped_part_2.jpg,46,?
cropped_part_2.jpg,47,C
cropped_part_2.jpg,48,?
cropped_part_2.jpg,49,?
cropped_part_2.jpg,50,?
cropped_part_3.jpg,51,?
cropped_part_3.jpg,52,?
cropped_part_3.jpg,53,?
cropped_part_3.jpg,54,C
cropped_part_3.jpg,55,?
cropped_part_3.jpg,56,D
cropped_part_3.jpg,57,?
cropped_part_3.jpg,58,?
cropped_part_3.jpg,59,B
cropped_part_3.jpg,60,?
cropped_part_3.jpg,61,?
cropped_part_3.jpg,62,?
cropped_part_3.jpg,63,C
cropped_part_3.jpg,64,?
cropped_part_3.jpg,65,D
cropped_part_3.jpg,66,A
cropped_part_3.jpg,67,?
cropped_part_3.jpg,68,?
cropped_part_3.jpg,69,D
cropped_part_3.jpg,70,?
cropped_part_3.jpg,71,?
cropped_part_3.jpg,72,A
cropped_part_3.jpg,73,?
cropped_part_3.jpg,74,D
cropped_part_3.jpg,75,?
cropped_part_4.jpg,76,?
cropped_part_4.jpg,77,?
cropped_part_4.jpg,78,?
cropped_part_4.jpg,79,A
cropped_part_4.jpg,80,?
cropped_part_4.jpg,81,D
cropped_part_4.jpg,82,?
cropped_part_4.jpg,83,?
cropped_part_4.jpg,84,?
cropped_part_4.jpg,85,D
cropped_part_4.jpg,86,?
cropped_part_4.jpg,87,?
cropped_part_4.jpg,88,?
cropped_part_4.jpg,89,B
cropped_part_4.jpg,90,?
cropped_part_4.jpg,91,?
cropped_part_4.jpg,92,A
cropped_part_4.jpg,93,?
cropped_part_4.jpg,94,?
cropped_part_4.jpg,95,?
cropped_part_4.jpg,96,?
cropped_part_4.jpg,97,?
cropped_part_4.jpg,98,?
cropped_part_4.jpg,99,A
cropped_part_4.jpg,100,D
